chrom	trans_id	strand	gene_id	gene_name	transcript_biotype	gene_start	gene_stop	CDS_start	CDS_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
I	YAL042W_mRNA	+	YAL042W	ERV46	protein_coding	61316	62563	1	1248	1248	0	0	1248
I	YAL043C_mRNA	-	YAL043C	PTA1	protein_coding	58695	61052	1	2358	2358	0	0	2358
I	YAL044C_mRNA	-	YAL044C	GCV3	protein_coding	57950	58462	1	513	513	0	0	513
I	YAL044W-A_mRNA	+	YAL044W-A	BOL1	protein_coding	57518	57850	1	333	333	0	0	333
I	YAL045C_mRNA	-	YAL045C	YAL045C	protein_coding	57488	57796	1	309	309	0	0	309
I	YAL046C_mRNA	-	YAL046C	BOL3	protein_coding	57029	57385	1	357	357	0	0	357
I	YAL047C_mRNA	-	YAL047C	SPC72	protein_coding	54989	56857	1	1869	1869	0	0	1869
I	YAL047W-A_mRNA	+	YAL047W-A	YAL047W-A	protein_coding	54584	54913	1	330	330	0	0	330
I	YAL048C_mRNA	-	YAL048C	GEM1	protein_coding	52801	54789	1	1989	1989	0	0	1989
I	YAL049C_mRNA	-	YAL049C	AIM2	protein_coding	51855	52595	1	741	741	0	0	741
I	YAL051W_mRNA	+	YAL051W	OAF1	protein_coding	48564	51707	1	3144	3144	0	0	3144
I	YAL053W_mRNA	+	YAL053W	FLC2	protein_coding	45899	48250	1	2352	2352	0	0	2352
I	YAL054C_mRNA	-	YAL054C	ACS1	protein_coding	42881	45022	1	2142	2142	0	0	2142
I	YAL055W_mRNA	+	YAL055W	PEX22	protein_coding	42177	42719	1	543	543	0	0	543
I	YAL056C-A_mRNA	-	YAL056C-A	YAL056C-A	protein_coding	38696	39046	1	351	351	0	0	351
I	YAL056W_mRNA	+	YAL056W	GPB2	protein_coding	39259	41901	1	2643	2643	0	0	2643
I	YAL058W_mRNA	+	YAL058W	CNE1	protein_coding	37464	38972	1	1509	1509	0	0	1509
I	YAL059C-A_mRNA	-	YAL059C-A	YAL059C-A	protein_coding	36496	36918	1	423	423	0	0	423
I	YAL059W_mRNA	+	YAL059W	ECM1	protein_coding	36509	37147	1	639	639	0	0	639
I	YAL060W_mRNA	+	YAL060W	BDH1	protein_coding	35155	36303	1	1149	1149	0	0	1149
I	YAL061W_mRNA	+	YAL061W	BDH2	protein_coding	33448	34701	1	1254	1254	0	0	1254
I	YAL062W_mRNA	+	YAL062W	GDH3	protein_coding	31567	32940	1	1374	1374	0	0	1374
I	YAL063C-A_mRNA	-	YAL063C-A	YAL063C-A	protein_coding	22395	22685	1	291	291	0	0	291
I	YAL063C_mRNA	-	YAL063C	FLO9	protein_coding	24000	27968	1	3969	3969	0	0	3969
I	YAL064C-A_mRNA	-	YAL064C-A	TDA8	protein_coding	13363	13743	1	381	381	0	0	381
I	YAL064W-B_mRNA	+	YAL064W-B	YAL064W-B	protein_coding	12046	12426	1	381	381	0	0	381
I	YAL064W_mRNA	+	YAL064W	YAL064W	protein_coding	21566	21850	1	285	285	0	0	285
I	YAL065C_mRNA	-	YAL065C	YAL065C	protein_coding	11565	11951	1	387	387	0	0	387
I	YAL066W_mRNA	+	YAL066W	YAL066W	protein_coding	10091	10399	1	309	309	0	0	309
I	YAL067C_mRNA	-	YAL067C	SEO1	protein_coding	7235	9016	1	1782	1782	0	0	1782
I	YAL067W-A_mRNA	+	YAL067W-A	YAL067W-A	protein_coding	2480	2707	1	228	228	0	0	228
I	YAL068C_mRNA	-	YAL068C	PAU8	protein_coding	1807	2169	1	363	363	0	0	363
I	YAL068W-A_mRNA	+	YAL068W-A	YAL068W-A	protein_coding	538	792	1	255	255	0	0	255
I	YAL069W_mRNA	+	YAL069W	YAL069W	protein_coding	335	649	1	315	315	0	0	315
I	YAR002C-A_mRNA	-	YAR002C-A	ERP1	protein_coding	154065	154724	1	660	660	0	0	660
I	YAR002W_mRNA	+	YAR002W	NUP60	protein_coding	152257	153876	1	1620	1620	0	0	1620
I	YAR003W_mRNA	+	YAR003W	SWD1	protein_coding	155005	156285	1	1281	1281	0	0	1281
I	YAR007C_mRNA	-	YAR007C	RFA1	protein_coding	156754	158619	1	1866	1866	0	0	1866
I	YAR008W_mRNA	+	YAR008W	SEN34	protein_coding	158966	159793	1	828	828	0	0	828
I	YAR014C_mRNA	-	YAR014C	BUD14	protein_coding	166742	168871	1	2130	2130	0	0	2130
I	YAR015W_mRNA	+	YAR015W	ADE1	protein_coding	169375	170295	1	921	921	0	0	921
I	YAR018C_mRNA	-	YAR018C	KIN3	protein_coding	170396	171703	1	1308	1308	0	0	1308
I	YAR019C_mRNA	-	YAR019C	CDC15	protein_coding	172211	175135	1	2925	2925	0	0	2925
I	YAR019W-A_mRNA	+	YAR019W-A	YAR019W-A	protein_coding	174998	175330	1	333	333	0	0	333
I	YAR020C_mRNA	-	YAR020C	PAU7	protein_coding	176856	177023	1	168	168	0	0	168
I	YAR023C_mRNA	-	YAR023C	YAR023C	protein_coding	179281	179820	1	540	540	0	0	540
I	YAR027W_mRNA	+	YAR027W	UIP3	protein_coding	183770	184477	1	708	708	0	0	708
I	YAR028W_mRNA	+	YAR028W	YAR028W	protein_coding	184892	185596	1	705	705	0	0	705
I	YAR029W_mRNA	+	YAR029W	YAR029W	protein_coding	186321	186545	1	225	225	0	0	225
I	YAR030C_mRNA	-	YAR030C	YAR030C	protein_coding	186512	186853	1	342	342	0	0	342
I	YAR031W_mRNA	+	YAR031W	PRM9	protein_coding	186836	187732	1	897	897	0	0	897
I	YAR033W_mRNA	+	YAR033W	MST28	protein_coding	188107	188811	1	705	705	0	0	705
I	YAR035C-A_mRNA	-	YAR035C-A	YAR035C-A	protein_coding	192337	192417	1	81	81	0	0	81
I	YAR035W_mRNA	+	YAR035W	YAT1	protein_coding	190193	192256	1	2064	2064	0	0	2064
I	YAR042W_mRNA	+	YAR042W	SWH1	protein_coding	192619	196185	1	3567	3567	0	0	3567
I	YAR047C_mRNA	-	YAR047C	YAR047C	protein_coding	201467	201787	1	321	321	0	0	321
I	YAR050W_mRNA	+	YAR050W	FLO1	protein_coding	203403	208016	1	4614	4614	0	0	4614
I	YAR053W_mRNA	+	YAR053W	YAR053W	protein_coding	208367	208663	1	297	297	0	0	297
I	YAR060C_mRNA	-	YAR060C	YAR060C	protein_coding	217157	217492	1	336	336	0	0	336
I	YAR064W_mRNA	+	YAR064W	YAR064W	protein_coding	220198	220497	1	300	300	0	0	300
I	YAR066W_mRNA	+	YAR066W	YAR066W	protein_coding	221049	221660	1	612	612	0	0	612
I	YAR068W_mRNA	+	YAR068W	YAR068W	protein_coding	222406	222891	1	486	486	0	0	486
I	YAR069C_mRNA	-	YAR069C	YAR069C	protein_coding	224011	224304	1	294	294	0	0	294
I	YAR070C_mRNA	-	YAR070C	YAR070C	protein_coding	224563	224862	1	300	300	0	0	300
I	YAR071W_mRNA	+	YAR071W	PHO11	protein_coding	225460	226863	1	1404	1404	0	0	1404
I	YAR073W_mRNA	+	YAR073W	IMD1	protein_coding	227742	228953	1	1212	1212	0	0	1212
I	YAR075W_mRNA	+	YAR075W	YAR075W	protein_coding	228844	229317	1	474	474	0	0	474
II	YBL001C_mRNA	-	YBL001C	ECM15	protein_coding	237153	237467	1	315	315	0	0	315
II	YBL002W_mRNA	+	YBL002W	HTB2	protein_coding	236492	236887	1	396	396	0	0	396
II	YBL003C_mRNA	-	YBL003C	HTA2	protein_coding	235394	235792	1	399	399	0	0	399
II	YBL004W_mRNA	+	YBL004W	UTP20	protein_coding	227636	235117	1	7482	7482	0	0	7482
II	YBL005W_mRNA	+	YBL005W	PDR3	protein_coding	217470	220400	1	2931	2931	0	0	2931
II	YBL006C_mRNA	-	YBL006C	LDB7	protein_coding	216587	217129	1	543	543	0	0	543
II	YBL006W-A_mRNA	+	YBL006W-A	YBL006W-A	protein_coding	216711	216860	1	150	150	0	0	150
II	YBL007C_mRNA	-	YBL007C	SLA1	protein_coding	212632	216366	1	3735	3735	0	0	3735
II	YBL008W-A_mRNA	+	YBL008W-A	YBL008W-A	protein_coding	209409	209648	1	240	240	0	0	240
II	YBL008W_mRNA	+	YBL008W	HIR1	protein_coding	209653	212175	1	2523	2523	0	0	2523
II	YBL009W_mRNA	+	YBL009W	ALK2	protein_coding	207194	209224	1	2031	2031	0	0	2031
II	YBL010C_mRNA	-	YBL010C	YBL010C	protein_coding	206107	206949	1	843	843	0	0	843
II	YBL011W_mRNA	+	YBL011W	SCT1	protein_coding	203538	205817	1	2280	2280	0	0	2280
II	YBL012C_mRNA	-	YBL012C	YBL012C	protein_coding	203406	203807	1	402	402	0	0	402
II	YBL013W_mRNA	+	YBL013W	FMT1	protein_coding	202056	203261	1	1206	1206	0	0	1206
II	YBL014C_mRNA	-	YBL014C	RRN6	protein_coding	199064	201748	1	2685	2685	0	0	2685
II	YBL015W_mRNA	+	YBL015W	ACH1	protein_coding	194122	195702	1	1581	1581	0	0	1581
II	YBL016W_mRNA	+	YBL016W	FUS3	protein_coding	192451	193512	1	1062	1062	0	0	1062
II	YBL017C_mRNA	-	YBL017C	PEP1	protein_coding	186844	191583	1	4740	4740	0	0	4740
II	YBL018C_mRNA	-	YBL018C	POP8	protein_coding	185998	186474	1	402	402	0	0	402
II	YBL019W_mRNA	+	YBL019W	APN2	protein_coding	184353	185915	1	1563	1563	0	0	1563
II	YBL020W_mRNA	+	YBL020W	RFT1	protein_coding	182401	184125	1	1725	1725	0	0	1725
II	YBL021C_mRNA	-	YBL021C	HAP3	protein_coding	181660	182094	1	435	435	0	0	435
II	YBL022C_mRNA	-	YBL022C	PIM1	protein_coding	177874	181275	1	3402	3402	0	0	3402
II	YBL023C_mRNA	-	YBL023C	MCM2	protein_coding	174920	177526	1	2607	2607	0	0	2607
II	YBL024W_mRNA	+	YBL024W	NCL1	protein_coding	172534	174588	1	2055	2055	0	0	2055
II	YBL025W_mRNA	+	YBL025W	RRN10	protein_coding	171481	171918	1	438	438	0	0	438
II	YBL026W_mRNA	+	YBL026W	LSM2	protein_coding	170623	171038	1	288	288	0	0	288
II	YBL027W_mRNA	+	YBL027W	RPL19B	protein_coding	168423	169376	1	570	570	0	0	570
II	YBL028C_mRNA	-	YBL028C	YBL028C	protein_coding	167518	167838	1	321	321	0	0	321
II	YBL029C-A_mRNA	-	YBL029C-A	YBL029C-A	protein_coding	164488	164772	1	285	285	0	0	285
II	YBL029W_mRNA	+	YBL029W	YBL029W	protein_coding	166134	167264	1	1131	1131	0	0	1131
II	YBL030C_mRNA	-	YBL030C	PET9	protein_coding	163041	163997	1	957	957	0	0	957
II	YBL031W_mRNA	+	YBL031W	SHE1	protein_coding	161699	162715	1	1017	1017	0	0	1017
II	YBL032W_mRNA	+	YBL032W	HEK2	protein_coding	160184	161329	1	1146	1146	0	0	1146
II	YBL033C_mRNA	-	YBL033C	RIB1	protein_coding	158656	159693	1	1038	1038	0	0	1038
II	YBL034C_mRNA	-	YBL034C	STU1	protein_coding	153848	158389	1	4542	4542	0	0	4542
II	YBL035C_mRNA	-	YBL035C	POL12	protein_coding	151493	153610	1	2118	2118	0	0	2118
II	YBL036C_mRNA	-	YBL036C	YBL036C	protein_coding	150447	151220	1	774	774	0	0	774
II	YBL037W_mRNA	+	YBL037W	APL3	protein_coding	147209	150286	1	3078	3078	0	0	3078
II	YBL038W_mRNA	+	YBL038W	MRPL16	protein_coding	146187	146885	1	699	699	0	0	699
II	YBL039C-A_mRNA	-	YBL039C-A	YBL039C-A	protein_coding	144948	145031	1	84	84	0	0	84
II	YBL039C_mRNA	-	YBL039C	URA7	protein_coding	143989	145728	1	1740	1740	0	0	1740
II	YBL039W-B_mRNA	+	YBL039W-B	YBL039W-B	protein_coding	143393	143572	1	180	180	0	0	180
II	YBL040C_mRNA	-	YBL040C	ERD2	protein_coding	142112	142868	1	660	660	0	0	660
II	YBL041W_mRNA	+	YBL041W	PRE7	protein_coding	141247	141972	1	726	726	0	0	726
II	YBL042C_mRNA	-	YBL042C	FUI1	protein_coding	138341	140260	1	1920	1920	0	0	1920
II	YBL043W_mRNA	+	YBL043W	ECM13	protein_coding	136688	137461	1	774	774	0	0	774
II	YBL044W_mRNA	+	YBL044W	YBL044W	protein_coding	135998	136366	1	369	369	0	0	369
II	YBL045C_mRNA	-	YBL045C	COR1	protein_coding	134143	135516	1	1374	1374	0	0	1374
II	YBL046W_mRNA	+	YBL046W	PSY4	protein_coding	132424	133749	1	1326	1326	0	0	1326
II	YBL047C_mRNA	-	YBL047C	EDE1	protein_coding	127895	132040	1	4146	4146	0	0	4146
II	YBL048W_mRNA	+	YBL048W	RRT1	protein_coding	127299	127610	1	312	312	0	0	312
II	YBL049W_mRNA	+	YBL049W	MOH1	protein_coding	126828	127244	1	417	417	0	0	417
II	YBL050W_mRNA	+	YBL050W	SEC17	protein_coding	125125	126119	1	879	879	0	0	879
II	YBL051C_mRNA	-	YBL051C	PIN4	protein_coding	122753	124759	1	2007	2007	0	0	2007
II	YBL052C_mRNA	-	YBL052C	SAS3	protein_coding	119379	121874	1	2496	2496	0	0	2496
II	YBL053W_mRNA	+	YBL053W	YBL053W	protein_coding	119335	119709	1	375	375	0	0	375
II	YBL054W_mRNA	+	YBL054W	TOD6	protein_coding	117589	119166	1	1578	1578	0	0	1578
II	YBL055C_mRNA	-	YBL055C	YBL055C	protein_coding	115573	116829	1	1257	1257	0	0	1257
II	YBL056W_mRNA	+	YBL056W	PTC3	protein_coding	113762	115168	1	1407	1407	0	0	1407
II	YBL057C_mRNA	-	YBL057C	PTH2	protein_coding	112801	113427	1	627	627	0	0	627
II	YBL058W_mRNA	+	YBL058W	SHP1	protein_coding	111437	112708	1	1272	1272	0	0	1272
II	YBL059C-A_mRNA	-	YBL059C-A	CMC2	protein_coding	110125	110539	1	330	330	0	0	330
II	YBL059W_mRNA	+	YBL059W	YBL059W	protein_coding	110594	111244	1	582	582	0	0	582
II	YBL060W_mRNA	+	YBL060W	YEL1	protein_coding	107932	109995	1	2064	2064	0	0	2064
II	YBL061C_mRNA	-	YBL061C	SKT5	protein_coding	105316	107406	1	2091	2091	0	0	2091
II	YBL062W_mRNA	+	YBL062W	YBL062W	protein_coding	105308	105688	1	381	381	0	0	381
II	YBL063W_mRNA	+	YBL063W	KIP1	protein_coding	101886	105221	1	3336	3336	0	0	3336
II	YBL064C_mRNA	-	YBL064C	PRX1	protein_coding	100371	101156	1	786	786	0	0	786
II	YBL065W_mRNA	+	YBL065W	YBL065W	protein_coding	99963	100307	1	345	345	0	0	345
II	YBL066C_mRNA	-	YBL066C	SEF1	protein_coding	96669	100115	1	3447	3447	0	0	3447
II	YBL067C_mRNA	-	YBL067C	UBP13	protein_coding	93639	95882	1	2244	2244	0	0	2244
II	YBL068W-A_mRNA	+	YBL068W-A	YBL068W-A	protein_coding	91794	92030	1	237	237	0	0	237
II	YBL068W_mRNA	+	YBL068W	PRS4	protein_coding	92414	93394	1	981	981	0	0	981
II	YBL069W_mRNA	+	YBL069W	AST1	protein_coding	90741	92030	1	1290	1290	0	0	1290
II	YBL070C_mRNA	-	YBL070C	YBL070C	protein_coding	90605	90925	1	321	321	0	0	321
II	YBL071C-B_mRNA	-	YBL071C-B	YBL071C-B	protein_coding	89458	89556	1	99	99	0	0	99
II	YBL071C_mRNA	-	YBL071C	YBL071C	protein_coding	90223	90531	1	309	309	0	0	309
II	YBL071W-A_mRNA	+	YBL071W-A	KTI11	protein_coding	89978	90226	1	249	249	0	0	249
II	YBL072C_mRNA	-	YBL072C	RPS8A	protein_coding	88523	89125	1	603	603	0	0	603
II	YBL073W_mRNA	+	YBL073W	YBL073W	protein_coding	87646	87957	1	312	312	0	0	312
II	YBL074C_mRNA	-	YBL074C	AAR2	protein_coding	86722	87789	1	1068	1068	0	0	1068
II	YBL075C_mRNA	-	YBL075C	SSA3	protein_coding	84499	86448	1	1950	1950	0	0	1950
II	YBL076C_mRNA	-	YBL076C	ILS1	protein_coding	81043	84261	1	3219	3219	0	0	3219
II	YBL077W_mRNA	+	YBL077W	YBL077W	protein_coding	80897	81328	1	432	432	0	0	432
II	YBL078C_mRNA	-	YBL078C	ATG8	protein_coding	80378	80731	1	354	354	0	0	354
II	YBL079W_mRNA	+	YBL079W	NUP170	protein_coding	75259	79767	1	4509	4509	0	0	4509
II	YBL080C_mRNA	-	YBL080C	PET112	protein_coding	73070	74695	1	1626	1626	0	0	1626
II	YBL081W_mRNA	+	YBL081W	YBL081W	protein_coding	71866	72972	1	1107	1107	0	0	1107
II	YBL082C_mRNA	-	YBL082C	ALG3	protein_coding	69751	71127	1	1377	1377	0	0	1377
II	YBL083C_mRNA	-	YBL083C	YBL083C	protein_coding	69713	70138	1	426	426	0	0	426
II	YBL084C_mRNA	-	YBL084C	CDC27	protein_coding	67169	69445	1	2277	2277	0	0	2277
II	YBL085W_mRNA	+	YBL085W	BOI1	protein_coding	63876	66818	1	2943	2943	0	0	2943
II	YBL086C_mRNA	-	YBL086C	YBL086C	protein_coding	61202	62602	1	1401	1401	0	0	1401
II	YBL087C_mRNA	-	YBL087C	RPL23A	protein_coding	59822	60739	1	414	414	0	0	414
II	YBL088C_mRNA	-	YBL088C	TEL1	protein_coding	51019	59382	1	8364	8364	0	0	8364
II	YBL089W_mRNA	+	YBL089W	AVT5	protein_coding	49574	50953	1	1380	1380	0	0	1380
II	YBL090W_mRNA	+	YBL090W	MRP21	protein_coding	48825	49358	1	534	534	0	0	534
II	YBL091C-A_mRNA	-	YBL091C-A	SCS22	protein_coding	46565	47180	1	528	528	0	0	528
II	YBL091C_mRNA	-	YBL091C	MAP2	protein_coding	47363	48628	1	1266	1266	0	0	1266
II	YBL092W_mRNA	+	YBL092W	RPL32	protein_coding	45978	46370	1	393	393	0	0	393
II	YBL093C_mRNA	-	YBL093C	ROX3	protein_coding	44256	44918	1	663	663	0	0	663
II	YBL094C_mRNA	-	YBL094C	YBL094C	protein_coding	43765	44097	1	333	333	0	0	333
II	YBL095W_mRNA	+	YBL095W	MRX3	protein_coding	43277	44089	1	813	813	0	0	813
II	YBL096C_mRNA	-	YBL096C	YBL096C	protein_coding	43174	43482	1	309	309	0	0	309
II	YBL097W_mRNA	+	YBL097W	BRN1	protein_coding	40831	43095	1	2265	2265	0	0	2265
II	YBL098W_mRNA	+	YBL098W	BNA4	protein_coding	39145	40527	1	1383	1383	0	0	1383
II	YBL099W_mRNA	+	YBL099W	ATP1	protein_coding	37053	38690	1	1638	1638	0	0	1638
II	YBL100C_mRNA	-	YBL100C	YBL100C	protein_coding	36989	37303	1	315	315	0	0	315
II	YBL100W-C_mRNA	+	YBL100W-C	YBL100W-C	protein_coding	28427	28546	1	120	120	0	0	120
II	YBL101C_mRNA	-	YBL101C	ECM21	protein_coding	24946	28299	1	3354	3354	0	0	3354
II	YBL102W_mRNA	+	YBL102W	SFT2	protein_coding	24098	24745	1	648	648	0	0	648
II	YBL103C_mRNA	-	YBL103C	RTG3	protein_coding	22076	23536	1	1461	1461	0	0	1461
II	YBL104C_mRNA	-	YBL104C	SEA4	protein_coding	18177	21293	1	3117	3117	0	0	3117
II	YBL105C_mRNA	-	YBL105C	PKC1	protein_coding	14241	17696	1	3456	3456	0	0	3456
II	YBL106C_mRNA	-	YBL106C	SRO77	protein_coding	10847	13879	1	3033	3033	0	0	3033
II	YBL107C_mRNA	-	YBL107C	MIX23	protein_coding	9961	10551	1	591	591	0	0	591
II	YBL107W-A_mRNA	+	YBL107W-A	YBL107W-A	protein_coding	9268	9372	1	105	105	0	0	105
