si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
YMR291W_mRNA	YDL080C_mRNA	YBR114W_mRNA	YLR035C_mRNA
YDL080C_mRNA	YNL164C_mRNA	YGL092W_mRNA	YNR032W_mRNA
YNL164C_mRNA	YPR191W_mRNA	YKR081C_mRNA	YGL080W_mRNA
YPR191W_mRNA	YDR330W_mRNA	YOL086C_mRNA	YML049C_mRNA
YDR330W_mRNA	YDL145C_mRNA	YJR139C_mRNA	YBR114W_mRNA
YDL145C_mRNA	YMR311C_mRNA	YMR291W_mRNA	YGL092W_mRNA
YMR311C_mRNA	YLR355C_mRNA	YLR252W_mRNA	YKR081C_mRNA
YLR355C_mRNA	YJL069C_mRNA	YDL080C_mRNA	YOL086C_mRNA
YJL069C_mRNA	YOR039W_mRNA	YNL164C_mRNA	YJR139C_mRNA
YOR039W_mRNA	YKR031C_mRNA	YPR191W_mRNA	YMR291W_mRNA
YKR031C_mRNA	YKL191W_mRNA	YDR330W_mRNA	YLR252W_mRNA
YKL191W_mRNA	YER088C_mRNA	YDL145C_mRNA	YDL080C_mRNA
YER088C_mRNA	YOL148C_mRNA	YMR311C_mRNA	YNL164C_mRNA
YOL148C_mRNA	YDL179W_mRNA	YLR355C_mRNA	YPR191W_mRNA
YDL179W_mRNA	YER131W_mRNA	YJL069C_mRNA	YDR330W_mRNA
YER131W_mRNA	YAL055W_mRNA	YOR039W_mRNA	YDL145C_mRNA
YAL055W_mRNA	YMR278W_mRNA	YKR031C_mRNA	YMR311C_mRNA
YMR278W_mRNA	YER008C_mRNA	YKL191W_mRNA	YLR355C_mRNA
YER008C_mRNA	YNL231C_mRNA	YER088C_mRNA	YJL069C_mRNA
YNL231C_mRNA	YJL179W_mRNA	YOL148C_mRNA	YOR039W_mRNA
YJL179W_mRNA	YPR003C_mRNA	YDL179W_mRNA	YKR031C_mRNA
YPR003C_mRNA	YMR005W_mRNA	YER131W_mRNA	YKL191W_mRNA
YMR005W_mRNA	YDL028C_mRNA	YAL055W_mRNA	YER088C_mRNA
YDL028C_mRNA	YOR132W_mRNA	YMR278W_mRNA	YOL148C_mRNA
YOR132W_mRNA	YPL041C_mRNA	YER008C_mRNA	YDL179W_mRNA
YPL041C_mRNA	YBR202W_mRNA	YNL231C_mRNA	YER131W_mRNA
YBR202W_mRNA	YGL173C_mRNA	YJL179W_mRNA	YAL055W_mRNA
YGL173C_mRNA	YPR055W_mRNA	YPR003C_mRNA	YMR278W_mRNA
YPR055W_mRNA	YDL122W_mRNA	YMR005W_mRNA	YER008C_mRNA
YDL122W_mRNA	YJR019C_mRNA	YDL028C_mRNA	YNL231C_mRNA
YJR019C_mRNA	YPL013C_mRNA	YOR132W_mRNA	YJL179W_mRNA
YPL013C_mRNA	YOR206W_mRNA	YPL041C_mRNA	YPR003C_mRNA
YOR206W_mRNA	YLR283W_mRNA	YBR202W_mRNA	YMR005W_mRNA
YLR283W_mRNA	YBR272C_mRNA	YGL173C_mRNA	YDL028C_mRNA
YBR272C_mRNA	YJL201W_mRNA	YPR055W_mRNA	YOR132W_mRNA
YJL201W_mRNA	YCL027W_mRNA	YDL122W_mRNA	YPL041C_mRNA
YCL027W_mRNA	YGL248W_mRNA	YJR019C_mRNA	YBR202W_mRNA
YGL248W_mRNA	YEL018W_mRNA	YPL013C_mRNA	YGL173C_mRNA
YEL018W_mRNA	YNL157W_mRNA	YOR206W_mRNA	YPR055W_mRNA
YNL157W_mRNA	YIL162W_mRNA	YLR283W_mRNA	YDL122W_mRNA
YIL162W_mRNA	YPR098C_mRNA	YBR272C_mRNA	YJR019C_mRNA
YPR098C_mRNA	YDR132C_mRNA	YJL201W_mRNA	YPL013C_mRNA
YDR132C_mRNA	YHR133C_mRNA	YCL027W_mRNA	YOR206W_mRNA
YHR133C_mRNA	YJR076C_mRNA	YGL248W_mRNA	YBR272C_mRNA
YJR076C_mRNA	YDL051W_mRNA	YEL018W_mRNA	YJL201W_mRNA
YDL051W_mRNA	YLR304C_mRNA	YNL157W_mRNA	YCL027W_mRNA
YLR304C_mRNA	YCL038C_mRNA	YIL162W_mRNA	YGL248W_mRNA
YCL038C_mRNA	YHL002W_mRNA	YPR098C_mRNA	YEL018W_mRNA
YHL002W_mRNA	YOL149W_mRNA	YDR132C_mRNA	YNL157W_mRNA
YOL149W_mRNA	YPL051W_mRNA	YHR133C_mRNA	YIL162W_mRNA
YPL051W_mRNA	YDL070W_mRNA	YJR076C_mRNA	YPR098C_mRNA
YDL070W_mRNA	YER129W_mRNA	YDL051W_mRNA	YDR132C_mRNA
YER129W_mRNA	YBR279W_mRNA	YLR304C_mRNA	YHR133C_mRNA
YBR279W_mRNA	YGL178W_mRNA	YCL038C_mRNA	YJR076C_mRNA
YGL178W_mRNA	YLR011W_mRNA	YHL002W_mRNA	YDL051W_mRNA
YLR011W_mRNA	YLR008C_mRNA	YOL149W_mRNA	YLR304C_mRNA
YLR008C_mRNA	YNL141W_mRNA	YPL051W_mRNA	YCL038C_mRNA
YNL141W_mRNA	YHR058C_mRNA	YDL070W_mRNA	YHL002W_mRNA
YHR058C_mRNA	YMR230W_mRNA	YER129W_mRNA	YOL149W_mRNA
YMR230W_mRNA	YGL244W_mRNA	YBR279W_mRNA	YPL051W_mRNA
YGL244W_mRNA	YNR007C_mRNA	YGL178W_mRNA	YDL070W_mRNA
YNR007C_mRNA	YBR092C_mRNA	YLR011W_mRNA	YER129W_mRNA
YBR092C_mRNA	YML030W_mRNA	YLR008C_mRNA	YBR279W_mRNA
YML030W_mRNA	YBR271W_mRNA	YNL141W_mRNA	YGL178W_mRNA
YBR271W_mRNA	YLR326W_mRNA	YHR058C_mRNA	YLR011W_mRNA
YLR326W_mRNA	YDR304C_mRNA	YMR230W_mRNA	YLR008C_mRNA
YDR304C_mRNA	YAL030W_mRNA	YGL244W_mRNA	YNL141W_mRNA
YAL030W_mRNA	YGR133W_mRNA	YNR007C_mRNA	YHR058C_mRNA
YGR133W_mRNA	YMR144W_mRNA	YBR092C_mRNA	YMR230W_mRNA
YMR144W_mRNA	YGR121C_mRNA	YKL171W_mRNA	YGL244W_mRNA
YGR121C_mRNA	YGR072W_mRNA	YML030W_mRNA	YNR007C_mRNA
YGR072W_mRNA	YOL068C_mRNA	YBR271W_mRNA	YBR092C_mRNA
YOL068C_mRNA	YMR233W_mRNA	YLR326W_mRNA	YKL171W_mRNA
YMR233W_mRNA	YNL257C_mRNA	YDR304C_mRNA	YML030W_mRNA
YNL257C_mRNA	YPL049C_mRNA	YDR275W_mRNA	YBR271W_mRNA
YER046W_mRNA	YMR140W_mRNA	YAL030W_mRNA	YLR326W_mRNA
YPL049C_mRNA	YBR154C_mRNA	YGR133W_mRNA	YDR304C_mRNA
YMR140W_mRNA	YBR172C_mRNA	YGR072W_mRNA	YDR275W_mRNA
YBR154C_mRNA	YPL091W_mRNA	YOL068C_mRNA	YAL030W_mRNA
YBR172C_mRNA	YHR061C_mRNA	YMR233W_mRNA	YGR133W_mRNA
YPL091W_mRNA	YLR433C_mRNA	YNL257C_mRNA	YMR144W_mRNA
YHR061C_mRNA	YNL288W_mRNA	YPL049C_mRNA	YGR121C_mRNA
YLR433C_mRNA	YGR126W_mRNA	YMR140W_mRNA	YGR072W_mRNA
YNL288W_mRNA	YNL290W_mRNA	YBR154C_mRNA	YOL068C_mRNA
YGR126W_mRNA	YHR005C_mRNA	YNL223W_mRNA	YMR233W_mRNA
YNL290W_mRNA	YOR262W_mRNA	YBR172C_mRNA	YNL257C_mRNA
YHR005C_mRNA	YLL018C_mRNA	YPL091W_mRNA	YER046W_mRNA
YOR262W_mRNA	YOL004W_mRNA	YHR061C_mRNA	YPL049C_mRNA
YLL018C_mRNA	YLR272C_mRNA	YLR433C_mRNA	YMR140W_mRNA
YOL004W_mRNA	YBR002C_mRNA	YNL288W_mRNA	YBR154C_mRNA
YLR272C_mRNA	YOL116W_mRNA	YGR126W_mRNA	YNL223W_mRNA
YBR002C_mRNA	YLR387C_mRNA	YNL290W_mRNA	YBR172C_mRNA
YOL116W_mRNA	YEL050C_mRNA	YHR005C_mRNA	YPL091W_mRNA
YLR387C_mRNA	YBR121C_mRNA	YOR262W_mRNA	YHR061C_mRNA
YEL050C_mRNA	YGL237C_mRNA	YLL018C_mRNA	YLR433C_mRNA
YBR121C_mRNA	YKL022C_mRNA	YOL004W_mRNA	YNL288W_mRNA
YGL237C_mRNA	YDR141C_mRNA	YBR002C_mRNA	YGR126W_mRNA
YKL022C_mRNA	YKL206C_mRNA	YOL116W_mRNA	YNL290W_mRNA
YDR141C_mRNA	YLR287C_mRNA	YLR387C_mRNA	YHR005C_mRNA
YKL206C_mRNA	YDR456W_mRNA	YEL050C_mRNA	YOR262W_mRNA
YLR287C_mRNA	YOR061W_mRNA	YBR121C_mRNA	YLL018C_mRNA
YDR456W_mRNA	YDR067C_mRNA	YGL237C_mRNA	YOL004W_mRNA
YOR061W_mRNA	YDR047W_mRNA	YKL022C_mRNA	YLR272C_mRNA
YDR067C_mRNA	YDL059C_mRNA	YDR141C_mRNA	YBR002C_mRNA
YDR047W_mRNA	YHR193C_mRNA	YKL206C_mRNA	YOL116W_mRNA
YDL059C_mRNA	YER053C_mRNA	YLR287C_mRNA	YLR387C_mRNA
YHR193C_mRNA	YJL158C_mRNA	YDR456W_mRNA	YEL050C_mRNA
YER053C_mRNA	YLR075W_mRNA	YOR061W_mRNA	YBR121C_mRNA
YJL158C_mRNA	YBL089W_mRNA	YDR067C_mRNA	YGL237C_mRNA
YLR075W_mRNA	YIL112W_mRNA	YDR047W_mRNA	YKL022C_mRNA
YBL089W_mRNA	YHR040W_mRNA	YDL059C_mRNA	YDR141C_mRNA
YIL112W_mRNA	YCR095C_mRNA	YHR193C_mRNA	YKL206C_mRNA
YHR040W_mRNA	YOR329C_mRNA	YER053C_mRNA	YLR287C_mRNA
YCR095C_mRNA	YKL128C_mRNA	YJL158C_mRNA	YDR456W_mRNA
YOR329C_mRNA	YEL032W_mRNA	YLR075W_mRNA	YOR061W_mRNA
YKL128C_mRNA	YFL033C_mRNA	YBL089W_mRNA	YDR067C_mRNA
YEL032W_mRNA	YPR173C_mRNA	YIL112W_mRNA	YDR047W_mRNA
YFL033C_mRNA	YMR314W_mRNA	YHR040W_mRNA	YDL059C_mRNA
YPR173C_mRNA	YLR163C_mRNA	YCR095C_mRNA	YHR193C_mRNA
YMR314W_mRNA	YIL142W_mRNA	YOR329C_mRNA	YER053C_mRNA
YLR163C_mRNA	YLR148W_mRNA	YKL128C_mRNA	YJL158C_mRNA
YIL142W_mRNA	YPR049C_mRNA	YEL032W_mRNA	YLR075W_mRNA
YLR148W_mRNA	YBR086C_mRNA	YFL033C_mRNA	YBL089W_mRNA
YPR049C_mRNA	YGL176C_mRNA	YPR173C_mRNA	YIL112W_mRNA
YBR086C_mRNA	YGR241C_mRNA	YMR314W_mRNA	YHR040W_mRNA
YGL176C_mRNA	YGL209W_mRNA	YLR163C_mRNA	YCR095C_mRNA
YGR241C_mRNA	YGL009C_mRNA	YIL142W_mRNA	YOR329C_mRNA
YGL209W_mRNA	YIL117C_mRNA	YLR148W_mRNA	YKL128C_mRNA
YGL009C_mRNA	YLR080W_mRNA	YPR049C_mRNA	YEL032W_mRNA
YIL117C_mRNA	YDR480W_mRNA	YBR086C_mRNA	YFL033C_mRNA
YLR080W_mRNA	YBR035C_mRNA	YGL176C_mRNA	YPR173C_mRNA
YDR480W_mRNA	YDR235W_mRNA	YLR251W_mRNA	YMR314W_mRNA
YBR035C_mRNA	YOR352W_mRNA	YGR241C_mRNA	YLR163C_mRNA
YDR235W_mRNA	YGR055W_mRNA	YIR039C_mRNA	YIL142W_mRNA
YOR352W_mRNA	YOL058W_mRNA	YGL209W_mRNA	YLR148W_mRNA
YGR055W_mRNA	YBL006C_mRNA	YGL009C_mRNA	YPR049C_mRNA
YOL058W_mRNA	YNR022C_mRNA	YIL117C_mRNA	YBR086C_mRNA
YBL006C_mRNA	YDR409W_mRNA	YLR080W_mRNA	YGL176C_mRNA
YNR022C_mRNA	YIL020C_mRNA	YDR480W_mRNA	YLR251W_mRNA
YDR409W_mRNA	YOL129W_mRNA	YBR035C_mRNA	YGR241C_mRNA
YIL020C_mRNA	YLR151C_mRNA	YIL037C_mRNA	YIR039C_mRNA
YOL129W_mRNA	YPR036W_mRNA	YDR235W_mRNA	YGL209W_mRNA
YLR151C_mRNA	YLR389C_mRNA	YGR055W_mRNA	YGL009C_mRNA
YPR036W_mRNA	YER176W_mRNA	YOL058W_mRNA	YIL117C_mRNA
YLR389C_mRNA	YDL019C_mRNA	YBL006C_mRNA	YBR035C_mRNA
YER176W_mRNA	YDR345C_mRNA	YNR022C_mRNA	YDR480W_mRNA
YDL019C_mRNA	YNR061C_mRNA	YDR409W_mRNA	YDR235W_mRNA
YDR345C_mRNA	YPL009C_mRNA	YIL020C_mRNA	YOR352W_mRNA
YNR061C_mRNA	YPR046W_mRNA	YOL129W_mRNA	YGR055W_mRNA
YPL009C_mRNA	YDL157C_mRNA	YLR151C_mRNA	YOL058W_mRNA
YPR046W_mRNA	YHR047C_mRNA	YPR036W_mRNA	YBL006C_mRNA
YNL230C_mRNA	YDR517W_mRNA	YLR389C_mRNA	YNR022C_mRNA
YHR047C_mRNA	YDL014W_mRNA	YER176W_mRNA	YDR409W_mRNA
YDL157C_mRNA	YDL097C_mRNA	YDL019C_mRNA	YIL020C_mRNA
YDR517W_mRNA	YLR165C_mRNA	YDR345C_mRNA	YOL129W_mRNA
YDL014W_mRNA	YBR239C_mRNA	YNR061C_mRNA	YLR151C_mRNA
YDL097C_mRNA	YEL034W_mRNA	YPL009C_mRNA	YPR036W_mRNA
YLR165C_mRNA	YER152C_mRNA	YPR046W_mRNA	YLR389C_mRNA
YBR239C_mRNA	YDL040C_mRNA	YNL230C_mRNA	YER176W_mRNA
YEL034W_mRNA	YFR047C_mRNA	YHR047C_mRNA	YDL019C_mRNA
YER152C_mRNA	YDL104C_mRNA	YDL157C_mRNA	YDR345C_mRNA
YDL040C_mRNA	YER153C_mRNA	YDR517W_mRNA	YNR061C_mRNA
YFR047C_mRNA	YGL116W_mRNA	YDL014W_mRNA	YPL009C_mRNA
YDL104C_mRNA	YDL029W_mRNA	YDL097C_mRNA	YPR046W_mRNA
YER153C_mRNA	YLR356W_mRNA	YLR165C_mRNA	YNL230C_mRNA
YGL116W_mRNA	YNL049C_mRNA	YBR239C_mRNA	YHR047C_mRNA
YDL029W_mRNA	YKL219W_mRNA	YEL034W_mRNA	YDL157C_mRNA
YLR356W_mRNA	YDL233W_mRNA	YER152C_mRNA	YDR517W_mRNA
YNL049C_mRNA	YOL054W_mRNA	YDL021W_mRNA	YDL014W_mRNA
YKL219W_mRNA	YCL047C_mRNA	YDL040C_mRNA	YDL097C_mRNA
YDL233W_mRNA	YJL024C_mRNA	YFR047C_mRNA	YLR165C_mRNA
YOL054W_mRNA	YML126C_mRNA	YDL104C_mRNA	YBR239C_mRNA
YCL047C_mRNA	YOR229W_mRNA	YER153C_mRNA	YDL021W_mRNA
YJL024C_mRNA	YOR336W_mRNA	YGL116W_mRNA	YER152C_mRNA
YML126C_mRNA	YKL108W_mRNA	YKL015W_mRNA	YDL040C_mRNA
YOR229W_mRNA	YOL012C_mRNA	YDL029W_mRNA	YFR047C_mRNA
YOR336W_mRNA	YIL015W_mRNA	YLR356W_mRNA	YDL104C_mRNA
YKL108W_mRNA	YHR077C_mRNA	YNL049C_mRNA	YER153C_mRNA
YOL012C_mRNA	YML006C_mRNA	YKL219W_mRNA	YGL116W_mRNA
YIL015W_mRNA	YAR002C-A_mRNA	YDL233W_mRNA	YKL015W_mRNA
YHR077C_mRNA	YML017W_mRNA	YOL054W_mRNA	YDL029W_mRNA
YML006C_mRNA	YKL167C_mRNA	YCL047C_mRNA	YLR356W_mRNA
YAR002C-A_mRNA	YPR061C_mRNA	YJL024C_mRNA	YNL049C_mRNA
YML017W_mRNA	YNL244C_mRNA	YML126C_mRNA	YKL219W_mRNA
