si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
YPL193W_mRNA	YCR073W-A_mRNA	YML024W_mRNA	YML024W_mRNA
YCR073W-A_mRNA	YDR498C_mRNA	YOR281C_mRNA	YOR281C_mRNA
YDR498C_mRNA	YBR211C_mRNA	YPL193W_mRNA	YPL193W_mRNA
YBR211C_mRNA	YDL201W_mRNA	YCR073W-A_mRNA	YCR073W-A_mRNA
YDL201W_mRNA	YCL001W_mRNA	YDR498C_mRNA	YDR498C_mRNA
YCL001W_mRNA	YLR270W_mRNA	YBR211C_mRNA	YBR211C_mRNA
YLR270W_mRNA	YBL059C-A_mRNA	YDL201W_mRNA	YDL201W_mRNA
YBL059C-A_mRNA	YKR038C_mRNA	YCL001W_mRNA	YCL001W_mRNA
YKR038C_mRNA	YGL029W_mRNA	YLR270W_mRNA	YLR270W_mRNA
YGL029W_mRNA	YBR119W_mRNA	YBL059C-A_mRNA	YBL059C-A_mRNA
YBR119W_mRNA	YBL103C_mRNA	YKR038C_mRNA	YKR038C_mRNA
YBL103C_mRNA	YMR115W_mRNA	YGL029W_mRNA	YGL029W_mRNA
YMR115W_mRNA	YER068W_mRNA	YBR119W_mRNA	YBR119W_mRNA
YER068W_mRNA	YML123C_mRNA	YBL103C_mRNA	YBL103C_mRNA
YML123C_mRNA	YGL223C_mRNA	YMR115W_mRNA	YMR115W_mRNA
YGL223C_mRNA	YGL196W_mRNA	YER068W_mRNA	YER068W_mRNA
YGL196W_mRNA	YPL210C_mRNA	YML123C_mRNA	YML123C_mRNA
YPL210C_mRNA	YGR250C_mRNA	YGL223C_mRNA	YGL223C_mRNA
YGR250C_mRNA	YPL173W_mRNA	YGL196W_mRNA	YGL196W_mRNA
YPL173W_mRNA	YGL075C_mRNA	YPL210C_mRNA	YPL210C_mRNA
YGL075C_mRNA	YPL159C_mRNA	YGR250C_mRNA	YGR250C_mRNA
YPL159C_mRNA	YBR169C_mRNA	YPL173W_mRNA	YPL173W_mRNA
YBR169C_mRNA	YDR483W_mRNA	YGL075C_mRNA	YGL075C_mRNA
YDR483W_mRNA	YBL045C_mRNA	YPL159C_mRNA	YPL159C_mRNA
YBL045C_mRNA	YPL099C_mRNA	YBR169C_mRNA	YBR169C_mRNA
YPL099C_mRNA	YIL085C_mRNA	YDR483W_mRNA	YDR483W_mRNA
YIL085C_mRNA	YNL160W_mRNA	YBL045C_mRNA	YBL045C_mRNA
YNL160W_mRNA	YHL004W_mRNA	YPL099C_mRNA	YPL099C_mRNA
YHL004W_mRNA	YLR310C_mRNA	YIL085C_mRNA	YIL085C_mRNA
YLR310C_mRNA	YHR008C_mRNA	YNL160W_mRNA	YNL160W_mRNA
YHR008C_mRNA	YPL231W_mRNA	YHL004W_mRNA	YHL004W_mRNA
YPL231W_mRNA	YDL139C_mRNA	YLR310C_mRNA	YLR310C_mRNA
YDL139C_mRNA	YBR015C_mRNA	YHR008C_mRNA	YHR008C_mRNA
YBR015C_mRNA	YCR030C_mRNA	YPL231W_mRNA	YPL231W_mRNA
YCR030C_mRNA	YJL177W_mRNA	YDL139C_mRNA	YDL139C_mRNA
YJL177W_mRNA	YIL041W_mRNA	YBR015C_mRNA	YBR015C_mRNA
YIL041W_mRNA	YGR024C_mRNA	YCR030C_mRNA	YCR030C_mRNA
YGR024C_mRNA	YJL051W_mRNA	YJL177W_mRNA	YJL177W_mRNA
YJL051W_mRNA	YDR395W_mRNA	YIL041W_mRNA	YIL041W_mRNA
YDR395W_mRNA	YMR116C_mRNA	YGR024C_mRNA	YGR024C_mRNA
YMR116C_mRNA	YGL027C_mRNA	YDR395W_mRNA	YJL051W_mRNA
YGL027C_mRNA	YGR126W_mRNA	YMR116C_mRNA	YDR395W_mRNA
YGR126W_mRNA	YNL154C_mRNA	YGL027C_mRNA	YMR116C_mRNA
YNL154C_mRNA	YBR289W_mRNA	YNL154C_mRNA	YGL027C_mRNA
YBR289W_mRNA	YJR125C_mRNA	YGR126W_mRNA	YGR126W_mRNA
YJR125C_mRNA	YMR224C_mRNA	YPL054W_mRNA	YNL154C_mRNA
YMR224C_mRNA	YBR011C_mRNA	YBR289W_mRNA	YBR289W_mRNA
YBR011C_mRNA	YER003C_mRNA	YMR224C_mRNA	YJR125C_mRNA
YER003C_mRNA	YOR367W_mRNA	YJR125C_mRNA	YMR224C_mRNA
YOR367W_mRNA	YOR064C_mRNA	YBR011C_mRNA	YBR011C_mRNA
YOR064C_mRNA	YPL082C_mRNA	YER003C_mRNA	YER003C_mRNA
YPL082C_mRNA	YCR063W_mRNA	YOR367W_mRNA	YOR367W_mRNA
YCR063W_mRNA	YDL215C_mRNA	YOR064C_mRNA	YOR064C_mRNA
YDL215C_mRNA	YLR181C_mRNA	YPL082C_mRNA	YPL082C_mRNA
YLR181C_mRNA	YPR159W_mRNA	YCR063W_mRNA	YCR063W_mRNA
YPR159W_mRNA	YAL023C_mRNA	YDL215C_mRNA	YDL215C_mRNA
YAL023C_mRNA	YBL037W_mRNA	YLR181C_mRNA	YLR181C_mRNA
YBL037W_mRNA	YNL212W_mRNA	YPR159W_mRNA	YPR159W_mRNA
YNL212W_mRNA	YDL199C_mRNA	YAL023C_mRNA	YAL023C_mRNA
YDL199C_mRNA	YCR043C_mRNA	YBL037W_mRNA	YBL037W_mRNA
YLR070C_mRNA	YGL055W_mRNA	YNL212W_mRNA	YNL212W_mRNA
YCR043C_mRNA	YDR044W_mRNA	YDL199C_mRNA	YDL199C_mRNA
YGL055W_mRNA	YDR382W_mRNA	YCR043C_mRNA	YCR043C_mRNA
YDR044W_mRNA	YJL053W_mRNA	YGL055W_mRNA	YGL055W_mRNA
YDR382W_mRNA	YAL026C-A_mRNA	YDR044W_mRNA	YDR044W_mRNA
YJL053W_mRNA	YGR163W_mRNA	YDR382W_mRNA	YDR382W_mRNA
YAL026C-A_mRNA	YCL033C_mRNA	YJL053W_mRNA	YJL053W_mRNA
YGR163W_mRNA	YNL200C_mRNA	YAL026C-A_mRNA	YAL026C-A_mRNA
YCL033C_mRNA	YJL048C_mRNA	YGR163W_mRNA	YGR163W_mRNA
YNL200C_mRNA	YNR032W_mRNA	YCL033C_mRNA	YCL033C_mRNA
YJL048C_mRNA	YHR118C_mRNA	YNL200C_mRNA	YNL200C_mRNA
YNR032W_mRNA	YMR255W_mRNA	YJL048C_mRNA	YJL048C_mRNA
YHR118C_mRNA	YLR299W_mRNA	YGR088W_mRNA	YGR088W_mRNA
YMR255W_mRNA	YPL010W_mRNA	YNR032W_mRNA	YNR032W_mRNA
YLR299W_mRNA	YDR283C_mRNA	YHR118C_mRNA	YHR118C_mRNA
YPL010W_mRNA	YNL281W_mRNA	YMR255W_mRNA	YMR255W_mRNA
YDR283C_mRNA	YPR053C_mRNA	YLR299W_mRNA	YLR299W_mRNA
YNL281W_mRNA	YPL037C_mRNA	YPL010W_mRNA	YPL010W_mRNA
YPR053C_mRNA	YBR058C_mRNA	YDR283C_mRNA	YDR283C_mRNA
YPL037C_mRNA	YLR306W_mRNA	YNL281W_mRNA	YNL281W_mRNA
YBR058C_mRNA	YIL148W_mRNA	YPR053C_mRNA	YPR053C_mRNA
YLR306W_mRNA	YFL002C_mRNA	YPL037C_mRNA	YPL037C_mRNA
YIL148W_mRNA	YOR098C_mRNA	YBR058C_mRNA	YBR058C_mRNA
YFL002C_mRNA	YDR475C_mRNA	YLR306W_mRNA	YLR306W_mRNA
YOR098C_mRNA	YKL145W_mRNA	YIL148W_mRNA	YIL148W_mRNA
YDR475C_mRNA	YGL254W_mRNA	YFL002C_mRNA	YFL002C_mRNA
YKL145W_mRNA	YLR011W_mRNA	YOR098C_mRNA	YOR098C_mRNA
YGL254W_mRNA	YDR060W_mRNA	YDR475C_mRNA	YDR475C_mRNA
YLR011W_mRNA	YPL052W_mRNA	YKL145W_mRNA	YKL145W_mRNA
YDR060W_mRNA	YLL015W_mRNA	YGL254W_mRNA	YGL254W_mRNA
YLL015W_mRNA	YJL087C_mRNA	YLR011W_mRNA	YLR011W_mRNA
YJL087C_mRNA	YER031C_mRNA	YDR060W_mRNA	YDR060W_mRNA
YER031C_mRNA	YHR200W_mRNA	YPL052W_mRNA	YPL052W_mRNA
YHR200W_mRNA	YOR089C_mRNA	YLL015W_mRNA	YLL015W_mRNA
YOR089C_mRNA	YOR128C_mRNA	YJL087C_mRNA	YJL087C_mRNA
YOR128C_mRNA	YMR242C_mRNA	YER031C_mRNA	YER031C_mRNA
YMR242C_mRNA	YHR199C_mRNA	YOR386W_mRNA	YOR386W_mRNA
YHR199C_mRNA	YJR070C_mRNA	YHR200W_mRNA	YHR200W_mRNA
YJR070C_mRNA	YGL143C_mRNA	YOR089C_mRNA	YOR089C_mRNA
YGL143C_mRNA	YKL023W_mRNA	YOR128C_mRNA	YOR128C_mRNA
YKL023W_mRNA	YDL072C_mRNA	YMR242C_mRNA	YMR242C_mRNA
YDL072C_mRNA	YPL199C_mRNA	YKL033W_mRNA	YKL033W_mRNA
YPL199C_mRNA	YJL131C_mRNA	YHR199C_mRNA	YHR199C_mRNA
YJL131C_mRNA	YOL016C_mRNA	YJR070C_mRNA	YJR070C_mRNA
YOL016C_mRNA	YOL092W_mRNA	YGL143C_mRNA	YGL143C_mRNA
YOL092W_mRNA	YDR240C_mRNA	YKL023W_mRNA	YKL023W_mRNA
YDR240C_mRNA	YDL155W_mRNA	YDL072C_mRNA	YDL072C_mRNA
YDL155W_mRNA	YOL005C_mRNA	YPL199C_mRNA	YPL199C_mRNA
YOL005C_mRNA	YOR265W_mRNA	YJL131C_mRNA	YJL131C_mRNA
YOR265W_mRNA	YFL004W_mRNA	YOL016C_mRNA	YOL016C_mRNA
YFL004W_mRNA	YDR245W_mRNA	YOL092W_mRNA	YOL092W_mRNA
YDR245W_mRNA	YAL048C_mRNA	YDR240C_mRNA	YDR240C_mRNA
YAL048C_mRNA	YFR050C_mRNA	YDL155W_mRNA	YDL155W_mRNA
YFR050C_mRNA	YKL063C_mRNA	YOL005C_mRNA	YOL005C_mRNA
YKL063C_mRNA	YPL131W_mRNA	YOR265W_mRNA	YOR265W_mRNA
YPL131W_mRNA	YDL006W_mRNA	YFL004W_mRNA	YFL004W_mRNA
YDL006W_mRNA	YNL201C_mRNA	YDR245W_mRNA	YDR245W_mRNA
YNL201C_mRNA	YJR119C_mRNA	YAL048C_mRNA	YAL048C_mRNA
YJR119C_mRNA	YOL048C_mRNA	YFR050C_mRNA	YFR050C_mRNA
YOL048C_mRNA	YPR139C_mRNA	YKL063C_mRNA	YKL063C_mRNA
YPR139C_mRNA	YNL061W_mRNA	YPL131W_mRNA	YPL131W_mRNA
YNL061W_mRNA	YMR126C_mRNA	YDL006W_mRNA	YDL006W_mRNA
YMR126C_mRNA	YLR206W_mRNA	YNL201C_mRNA	YNL201C_mRNA
YLR206W_mRNA	YOR209C_mRNA	YJR119C_mRNA	YJR119C_mRNA
YOR209C_mRNA	YKL058W_mRNA	YOL048C_mRNA	YOL048C_mRNA
YKL058W_mRNA	YHR071W_mRNA	YPR139C_mRNA	YPR139C_mRNA
YHR071W_mRNA	YER158C_mRNA	YNL061W_mRNA	YNL061W_mRNA
YER158C_mRNA	YHR142W_mRNA	YMR126C_mRNA	YMR126C_mRNA
YHR142W_mRNA	YNL314W_mRNA	YLR206W_mRNA	YLR206W_mRNA
YNL314W_mRNA	YGL219C_mRNA	YOR209C_mRNA	YOR209C_mRNA
YGL219C_mRNA	YLR195C_mRNA	YKL058W_mRNA	YKL058W_mRNA
YLR195C_mRNA	YLR082C_mRNA	YER158C_mRNA	YER158C_mRNA
YLR082C_mRNA	YPR112C_mRNA	YHR142W_mRNA	YHR142W_mRNA
YPR112C_mRNA	YOR239W_mRNA	YNL314W_mRNA	YNL314W_mRNA
YOR239W_mRNA	YER079W_mRNA	YGL219C_mRNA	YGL219C_mRNA
YER079W_mRNA	YLR022C_mRNA	YLR195C_mRNA	YLR195C_mRNA
YLR022C_mRNA	YNL277W_mRNA	YLR082C_mRNA	YLR082C_mRNA
YNL277W_mRNA	YBR165W_mRNA	YPR112C_mRNA	YPR112C_mRNA
YBR165W_mRNA	YGR012W_mRNA	YOR239W_mRNA	YOR239W_mRNA
YGR012W_mRNA	YDR182W_mRNA	YER079W_mRNA	YER079W_mRNA
YDR182W_mRNA	YPR013C_mRNA	YLR022C_mRNA	YLR022C_mRNA
YPR013C_mRNA	YIL126W_mRNA	YBR165W_mRNA	YBR165W_mRNA
YIL126W_mRNA	YGR198W_mRNA	YGR012W_mRNA	YGR012W_mRNA
YGR198W_mRNA	YBR151W_mRNA	YDR182W_mRNA	YDR182W_mRNA
YBR151W_mRNA	YNL298W_mRNA	YPR013C_mRNA	YPR013C_mRNA
YNL298W_mRNA	YLR288C_mRNA	YIL126W_mRNA	YIL126W_mRNA
YLR288C_mRNA	YDR330W_mRNA	YGR198W_mRNA	YGR198W_mRNA
YDR330W_mRNA	YOR247W_mRNA	YBR151W_mRNA	YBR151W_mRNA
YOR247W_mRNA	YOL120C_mRNA	YNL298W_mRNA	YNL298W_mRNA
YOL120C_mRNA	YMR275C_mRNA	YLR288C_mRNA	YLR288C_mRNA
YMR275C_mRNA	YBL034C_mRNA	YDR330W_mRNA	YDR330W_mRNA
YBL034C_mRNA	YGR204W_mRNA	YMR275C_mRNA	YOR247W_mRNA
YGR204W_mRNA	YNL124W_mRNA	YOL120C_mRNA	YOL120C_mRNA
YNL124W_mRNA	YBR218C_mRNA	YBL034C_mRNA	YMR275C_mRNA
YBR218C_mRNA	YBL067C_mRNA	YGR204W_mRNA	YBL034C_mRNA
YBL067C_mRNA	YPR009W_mRNA	YNL124W_mRNA	YGR204W_mRNA
YPR009W_mRNA	YBR059C_mRNA	YBR218C_mRNA	YNL124W_mRNA
YBR059C_mRNA	YDL240W_mRNA	YBL067C_mRNA	YBR218C_mRNA
YDL240W_mRNA	YMR233W_mRNA	YPR009W_mRNA	YBL067C_mRNA
YMR233W_mRNA	YHR056C_mRNA	YBR059C_mRNA	YPR009W_mRNA
YHR056C_mRNA	YIR001C_mRNA	YMR233W_mRNA	YBR059C_mRNA
YIR001C_mRNA	YDR316W_mRNA	YDR316W_mRNA	YDL240W_mRNA
YJR046W_mRNA	YJR046W_mRNA	YHR056C_mRNA	YMR233W_mRNA
YOR274W_mRNA	YOR274W_mRNA	YIR001C_mRNA	YHR056C_mRNA
YDR347W_mRNA	YDR347W_mRNA	YJR046W_mRNA	YIR001C_mRNA
YGL062W_mRNA	YGL062W_mRNA	YOR274W_mRNA	YDR316W_mRNA
YHR158C_mRNA	YHR158C_mRNA	YDR347W_mRNA	YJR046W_mRNA
YDR101C_mRNA	YDR101C_mRNA	YGL062W_mRNA	YOR274W_mRNA
YPL084W_mRNA	YPL084W_mRNA	YHR158C_mRNA	YDR347W_mRNA
YPL256C_mRNA	YPL256C_mRNA	YDR101C_mRNA	YGL062W_mRNA
YCR068W_mRNA	YCR068W_mRNA	YPL084W_mRNA	YHR158C_mRNA
YML009W-B_mRNA	YML009W-B_mRNA	YCR068W_mRNA	YDR101C_mRNA
YLR432W_mRNA	YLR432W_mRNA	YML009W-B_mRNA	YPL084W_mRNA
YCR012W_mRNA	YCR012W_mRNA	YLR432W_mRNA	YPL256C_mRNA
YNL163C_mRNA	YNL163C_mRNA	YCR012W_mRNA	YCR068W_mRNA
YNL098C_mRNA	YNL098C_mRNA	YNL163C_mRNA	YML009W-B_mRNA
YPR011C_mRNA	YPR011C_mRNA	YNL098C_mRNA	YLR432W_mRNA
YPR024W_mRNA	YPR024W_mRNA	YPR011C_mRNA	YCR012W_mRNA
YKR049C_mRNA	YKR049C_mRNA	YPR024W_mRNA	YNL163C_mRNA
YDR233C_mRNA	YDR233C_mRNA	YKR049C_mRNA	YNL098C_mRNA
YJL174W_mRNA	YJL174W_mRNA	YDR233C_mRNA	YPR011C_mRNA
YPR143W_mRNA	YPR143W_mRNA	YJL174W_mRNA	YPR024W_mRNA
YOR174W_mRNA	YOR174W_mRNA	YPR143W_mRNA	YKR049C_mRNA
YHR186C_mRNA	YHR186C_mRNA	YOR174W_mRNA	YDR233C_mRNA
YBL054W_mRNA	YBL054W_mRNA	YHR186C_mRNA	YJL174W_mRNA
YEL022W_mRNA	YEL022W_mRNA	YBL054W_mRNA	YPR143W_mRNA
YLR291C_mRNA	YLR291C_mRNA	YEL022W_mRNA	YOR174W_mRNA
YER107C_mRNA	YER107C_mRNA	YLR291C_mRNA	YHR186C_mRNA
YBL099W_mRNA	YBL099W_mRNA	YER107C_mRNA	YBL054W_mRNA
YNL008C_mRNA	YNL008C_mRNA	YBL099W_mRNA	YEL022W_mRNA
YJR097W_mRNA	YJR097W_mRNA	YNL008C_mRNA	YLR291C_mRNA
YLR332W_mRNA	YLR332W_mRNA	YJR097W_mRNA	YER107C_mRNA
YOR152C_mRNA	YOR152C_mRNA	YLR332W_mRNA	YBL099W_mRNA
YLR326W_mRNA	YLR326W_mRNA	YOR152C_mRNA	YNL008C_mRNA
YJR142W_mRNA	YJR142W_mRNA	YLR326W_mRNA	YJR097W_mRNA
YJL129C_mRNA	YJL129C_mRNA	YJR142W_mRNA	YLR332W_mRNA
YDR087C_mRNA	YDR087C_mRNA	YJL129C_mRNA	YOR152C_mRNA
YDR466W_mRNA	YDR466W_mRNA	YDR087C_mRNA	YLR326W_mRNA
YIR003W_mRNA	YIR003W_mRNA	YDR466W_mRNA	YJR142W_mRNA
YMR075W_mRNA	YMR075W_mRNA	YIR003W_mRNA	YJL129C_mRNA
YDL230W_mRNA	YDL230W_mRNA	YMR075W_mRNA	YDR087C_mRNA
YKL185W_mRNA	YKL185W_mRNA	YDL230W_mRNA	YDR466W_mRNA
YDR050C_mRNA	YDR050C_mRNA	YFR022W_mRNA	YIR003W_mRNA
YOR034C_mRNA	YOR034C_mRNA	YKL185W_mRNA	YMR075W_mRNA
YLR025W_mRNA	YLR025W_mRNA	YDR050C_mRNA	YDL230W_mRNA
YNR008W_mRNA	YNR008W_mRNA	YOR034C_mRNA	YFR022W_mRNA
YBR291C_mRNA	YBR291C_mRNA	YLR025W_mRNA	YKL185W_mRNA
YJR025C_mRNA	YJR025C_mRNA	YNR008W_mRNA	YDR050C_mRNA
YLR354C_mRNA	YLR354C_mRNA	YBR291C_mRNA	YOR034C_mRNA
YAL033W_mRNA	YAL033W_mRNA	YJR025C_mRNA	YLR025W_mRNA
YGL185C_mRNA	YGL185C_mRNA	YLR354C_mRNA	YNR008W_mRNA
YFL007W_mRNA	YFL007W_mRNA	YAL033W_mRNA	YBR291C_mRNA
YHR146W_mRNA	YHR146W_mRNA	YGL185C_mRNA	YJR025C_mRNA
YIL055C_mRNA	YIL055C_mRNA	YFL007W_mRNA	YLR354C_mRNA
YNL095C_mRNA	YNL095C_mRNA	YHR146W_mRNA	YAL033W_mRNA
YKR096W_mRNA	YKR096W_mRNA	YIL055C_mRNA	YGL185C_mRNA
YMR300C_mRNA	YMR300C_mRNA	YNL095C_mRNA	YFL007W_mRNA
YLR066W_mRNA	YLR066W_mRNA	YCR091W_mRNA	YHR146W_mRNA
YER077C_mRNA	YER077C_mRNA	YKR096W_mRNA	YIL055C_mRNA
YOL155C_mRNA	YOL155C_mRNA	YMR300C_mRNA	YNL095C_mRNA
YDR489W_mRNA	YDR489W_mRNA	YLR066W_mRNA	YCR091W_mRNA
YER182W_mRNA	YER182W_mRNA	YER077C_mRNA	YKR096W_mRNA
YAR003W_mRNA	YAR003W_mRNA	YOL155C_mRNA	YMR300C_mRNA
YBL006C_mRNA	YBL006C_mRNA	YDR489W_mRNA	YLR066W_mRNA
YLR283W_mRNA	YLR283W_mRNA	YER182W_mRNA	YER077C_mRNA
YLR199C_mRNA	YLR199C_mRNA	YAR003W_mRNA	YOL155C_mRNA
YLR427W_mRNA	YLR427W_mRNA	YBL006C_mRNA	YDR489W_mRNA
YBR043C_mRNA	YBR043C_mRNA	YLR283W_mRNA	YER182W_mRNA
YHR174W_mRNA	YHR174W_mRNA	YLR199C_mRNA	YAR003W_mRNA
YJL069C_mRNA	YOR193W_mRNA	YLR427W_mRNA	YBL006C_mRNA
YLR180W_mRNA	YJL069C_mRNA	YBR043C_mRNA	YLR199C_mRNA
YIL065C_mRNA	YIL065C_mRNA	YHR174W_mRNA	YLR427W_mRNA
YER033C_mRNA	YER033C_mRNA	YJL069C_mRNA	YBR043C_mRNA
YIL069C_mRNA	YIL069C_mRNA	YLR180W_mRNA	YNL198C_mRNA
YHR121W_mRNA	YLR180W_mRNA	YIL065C_mRNA	YHR174W_mRNA
YGR040W_mRNA	YGR040W_mRNA	YER033C_mRNA	YJL069C_mRNA
YGR285C_mRNA	YHR121W_mRNA	YIL069C_mRNA	YLR180W_mRNA
YGL019W_mRNA	YGR285C_mRNA	YIR039C_mRNA	YIL065C_mRNA
YPR008W_mRNA	YGL019W_mRNA	YGR040W_mRNA	YER033C_mRNA
YGL099W_mRNA	YPR008W_mRNA	YHR121W_mRNA	YIL069C_mRNA
YMR049C_mRNA	YGL099W_mRNA	YGR285C_mRNA	YIR039C_mRNA
YPL103C_mRNA	YMR049C_mRNA	YGL019W_mRNA	YGR040W_mRNA
YDL116W_mRNA	YPL103C_mRNA	YPR008W_mRNA	YHR121W_mRNA
YJL192C_mRNA	YDL116W_mRNA	YGL099W_mRNA	YGR285C_mRNA
YGL103W_mRNA	YJL192C_mRNA	YPL186C_mRNA	YGL019W_mRNA
YDR520C_mRNA	YGL103W_mRNA	YMR049C_mRNA	YPR008W_mRNA
YLL049W_mRNA	YDR520C_mRNA	YPL103C_mRNA	YGL099W_mRNA
YOR097C_mRNA	YLL049W_mRNA	YDL116W_mRNA	YPL186C_mRNA
YGL246C_mRNA	YOR097C_mRNA	YJL192C_mRNA	YMR049C_mRNA
YDR376W_mRNA	YGL246C_mRNA	YGL103W_mRNA	YPL103C_mRNA
YCL030C_mRNA	YDR376W_mRNA	YDR520C_mRNA	YDL116W_mRNA
YLR392C_mRNA	YCL030C_mRNA	YLL049W_mRNA	YJL192C_mRNA
YKL022C_mRNA	YLR392C_mRNA	YOR097C_mRNA	YGL103W_mRNA
YOR278W_mRNA	YKL022C_mRNA	YGL246C_mRNA	YDR520C_mRNA
YNL215W_mRNA	YOR278W_mRNA	YDR376W_mRNA	YLL049W_mRNA
YPL140C_mRNA	YNL215W_mRNA	YCL030C_mRNA	YOR097C_mRNA
YER090W_mRNA	YPL140C_mRNA	YLR392C_mRNA	YGL246C_mRNA
YIL105C_mRNA	YER090W_mRNA	YKL022C_mRNA	YDR376W_mRNA
YJR060W_mRNA	YIL105C_mRNA	YOR278W_mRNA	YCL030C_mRNA
YLR202C_mRNA	YJR060W_mRNA	YNL215W_mRNA	YLR392C_mRNA
YIR008C_mRNA	YOR362C_mRNA	YPL140C_mRNA	YKL022C_mRNA
YOR290C_mRNA	YIR008C_mRNA	YER090W_mRNA	YOR278W_mRNA
YGL010W_mRNA	YOR290C_mRNA	YIL105C_mRNA	YNL215W_mRNA
YHR131C_mRNA	YGL010W_mRNA	YOR289W_mRNA	YPL140C_mRNA
YDL142C_mRNA	YHR131C_mRNA	YJR060W_mRNA	YER090W_mRNA
YER144C_mRNA	YDL142C_mRNA	YIR008C_mRNA	YIL105C_mRNA
YBR036C_mRNA	YER144C_mRNA	YOR290C_mRNA	YOR289W_mRNA
YBR192W_mRNA	YBR036C_mRNA	YLR202C_mRNA	YJR060W_mRNA
YLR250W_mRNA	YBR192W_mRNA	YGL010W_mRNA	YIR008C_mRNA
YEL001C_mRNA	YLR250W_mRNA	YHR131C_mRNA	YOR290C_mRNA
YFL022C_mRNA	YEL001C_mRNA	YDL142C_mRNA	YLR202C_mRNA
YBR092C_mRNA	YFL022C_mRNA	YER144C_mRNA	YGL010W_mRNA
YGL043W_mRNA	YBR092C_mRNA	YBR036C_mRNA	YHR131C_mRNA
YGL247W_mRNA	YGL043W_mRNA	YBR192W_mRNA	YDL142C_mRNA
